"Date","Open","High","Low","Close","Volume","Market.Cap","coin","Delta"
"2018-01-10",0.752378,1.14,0.643346,0.673356,"404,776","11,171,700","LINX",-0.105029652648004
"2018-01-09",0.702832,0.869538,0.559775,0.753798,"525,598","10,387,700","LINX",0.0725151956655359
"2018-01-08",0.472008,0.67494,0.393672,0.67494,"259,642","6,944,070","LINX",0.429933390959475
"2018-01-07",0.468219,0.514537,0.406405,0.471396,"121,830","6,856,160","LINX",0.00678528637240263
"2018-01-06",0.381522,0.573978,0.371719,0.468564,"223,886","5,560,510","LINX",0.228144117508296
"2018-01-05",0.505818,0.530008,0.328008,0.381994,"214,352","7,337,670","LINX",-0.244799512868265
"2018-01-04",0.570454,0.61752,0.464264,0.50596,"291,024","8,236,280","LINX",-0.113057319257995
"2018-01-03",0.364872,0.611684,0.323723,0.567422,"413,397","5,242,890","LINX",0.55512618123616
"2018-01-02",0.25868,0.387178,0.25294,0.373701,"246,238","3,699,270","LINX",0.444645894541518
"2018-01-01",0.206831,0.265893,0.201047,0.252909,"61,005","2,943,620","LINX",0.222780917754108
"2017-12-31",0.235684,0.245215,0.199009,0.206064,"37,315","3,338,140","LINX",-0.125676753619253
"2017-12-30",0.252224,0.252224,0.204778,0.238186,"59,133","3,555,020","LINX",-0.0556568764273027
"2017-12-29",0.153799,0.274406,0.14895,0.252859,"181,589","2,157,280","LINX",0.644087412792021
"2017-12-28",0.178982,0.186501,0.143982,0.152227,"49,835","2,498,240","LINX",-0.14948430568437
"2017-12-27",0.207485,0.214974,0.131849,0.179344,"114,424","2,881,850","LINX",-0.135629081620358
"2017-12-26",0.189459,0.243115,0.180258,0.20733,"110,810","2,618,620","LINX",0.0943264769686317
"2017-12-25",0.186118,0.205394,0.178377,0.189635,"55,627","2,559,720","LINX",0.0188966139760797
"2017-12-24",0.19839,0.199168,0.166421,0.18422,"44,149","2,714,890","LINX",-0.0714249710166844
"2017-12-23",0.155662,0.220404,0.152381,0.196209,"45,409","2,119,530","LINX",0.260481042258226
"2017-12-22",0.186473,0.188302,0.123952,0.158046,"32,138","2,526,340","LINX",-0.152445662374714
"2017-12-21",0.184846,0.228338,0.131864,0.185829,"82,776","2,491,710","LINX",0.00531794033952579
"2017-12-20",0.236657,0.244882,0.173453,0.184368,"54,558","3,173,860","LINX",-0.220948461275179
"2017-12-19",0.274964,0.281247,0.224834,0.236751,"65,366","3,668,810","LINX",-0.138974556669237
"2017-12-18",0.229389,0.269407,0.19933,0.265971,"65,928","3,044,980","LINX",0.159475824908779
"2017-12-17",0.175235,0.236303,0.158649,0.228014,"84,366","2,314,120","LINX",0.301189830798642
"2017-12-16",0.144029,0.17694,0.141415,0.175698,"29,826","1,892,170","LINX",0.219879329857182
"2017-12-15",0.177927,0.187982,0.143725,0.143872,"35,850","2,325,440","LINX",-0.191398719699652
"2017-12-14",0.132639,0.18328,0.128928,0.181555,"69,608","1,724,490","LINX",0.368790476405884
"2017-12-13",0.144172,0.151278,0.126721,0.133067,"36,891","1,864,620","LINX",-0.0770260522154094
"2017-12-12",0.117986,0.156517,0.083881,0.144206,"128,281","1,518,110","LINX",0.222229756072754
"2017-12-11",0.115318,0.136914,0.111919,0.117612,"34,641","1,475,930","LINX",0.0198928181203281
"2017-12-10",0.116621,0.128554,0.102588,0.116155,"16,731","1,484,630","LINX",-0.00399584980406623
"2017-12-09",0.122165,0.124003,0.101983,0.116158,"17,522","1,546,840","LINX",-0.049171202881349
"2017-12-08",0.137872,0.143991,0.10078,0.122257,"39,061","1,736,350","LINX",-0.113257224091911
"2017-12-07",0.119165,0.142975,0.1158,0.13755,"51,498","1,492,650","LINX",0.154281878068225
"2017-12-06",0.115991,0.125461,0.111679,0.119245,"49,159","1,444,850","LINX",0.0280539007336777
"2017-12-05",0.118029,0.120967,0.11439,0.116249,"17,211","1,462,200","LINX",-0.0150810394055697
"2017-12-04",0.12112,0.125045,0.112049,0.117118,"26,157","1,492,280","LINX",-0.0330416116248349
"2017-12-03",0.122782,0.139066,0.111529,0.120724,"21,018","1,504,450","LINX",-0.0167614145395905
"2017-12-02",0.120076,0.13716,0.106038,0.122664,"30,703","1,463,040","LINX",0.0215530164229321
"2017-12-01",0.104214,0.128953,0.088929,0.121017,"53,142","1,262,670","LINX",0.16123553457309
"2017-11-30",0.08772,0.111813,0.074329,0.104744,"31,892","1,056,770","LINX",0.194072047423621
"2017-11-29",0.087276,0.126431,0.079412,0.086394,"39,540","1,045,470","LINX",-0.0101058710298365
"2017-11-28",0.084297,0.093121,0.079191,0.08827,"14,988","1,003,950","LINX",0.0471309773776054
"2017-11-27",0.075333,0.086649,0.073646,0.084084,"18,141","892,020","LINX",0.116164230815181
"2017-11-26",0.07569,0.082736,0.070256,0.075325,"20,281","891,134","LINX",-0.00482230149293157
"2017-11-25",0.067762,0.081769,0.064184,0.075728,"14,295","793,213","LINX",0.117558513621204
"2017-11-24",0.071571,0.077714,0.061364,0.06789,"20,330","832,914","LINX",-0.0514314456972795
"2017-11-23",0.070398,0.077245,0.069694,0.071671,"15,825","814,512","LINX",0.0180829000823887
"2017-11-22",0.072636,0.074037,0.069807,0.070097,"11,113","835,475","LINX",-0.0349551186739358
"2017-11-21",0.072981,0.07491,0.068465,0.072466,"8,223","834,428","LINX",-0.00705663117797785
"2017-11-20",0.070625,0.076507,0.068368,0.07297,"10,595","802,687","LINX",0.0332035398230089
"2017-11-19",0.071348,0.077547,0.068023,0.069767,"10,120","806,005","LINX",-0.0221589953467511
"2017-11-18",0.066456,0.085087,0.064899,0.073374,"10,806","746,197","LINX",0.104098952690502
"2017-11-17",0.071399,0.073197,0.066168,0.066941,"10,588","796,814","LINX",-0.0624378492695977
"2017-11-16",0.075072,0.077978,0.071013,0.071518,"16,023","832,679","LINX",-0.0473412190963342
"2017-11-15",0.08066,0.084294,0.065475,0.074684,"27,142","889,215","LINX",-0.0740887676667493
"2017-11-14",0.087022,0.091379,0.077729,0.080608,"8,821","953,351","LINX",-0.0737054997586818
"2017-11-13",0.073622,0.087915,0.061873,0.086841,"19,508","801,521","LINX",0.179552307734101
"2017-11-12",0.069421,0.080278,0.060091,0.073514,"6,302","751,004","LINX",0.0589591045937108
"2017-11-11",0.071937,0.0749,0.067003,0.069468,"2,801","773,324","LINX",-0.0343216981525501
"2017-11-10",0.091518,0.100543,0.072198,0.072198,"9,981","977,590","LINX",-0.211106011932079
"2017-11-09",0.079943,0.094552,0.074535,0.091258,"15,321","848,460","LINX",0.141538346071576
"2017-11-08",0.066402,0.089853,0.066012,0.080024,"15,305","700,217","LINX",0.205144423360742
"2017-11-07",0.06674,0.070888,0.064996,0.066614,"7,691","699,247","LINX",-0.00188792328438698
"2017-11-06",0.073416,0.073963,0.066598,0.066847,"6,896","764,182","LINX",-0.0894764084123351
"2017-11-05",0.067837,0.079634,0.067118,0.073252,"9,983","701,608","LINX",0.0798236950336837
"2017-11-04",0.068573,0.074257,0.063462,0.067946,"5,022","704,575","LINX",-0.00914354046053095
"2017-11-03",0.08302,0.089484,0.066756,0.069179,"11,168","847,406","LINX",-0.166718862924596
"2017-11-02",0.079326,0.097332,0.070513,0.083128,"14,666","804,214","LINX",0.0479288001411895
"2017-11-01",0.071769,0.091273,0.064412,0.079261,"15,011","722,847","LINX",0.104390474996168
"2017-10-31",0.095053,0.139843,0.071126,0.074638,"39,495","950,884","LINX",-0.214774915047395
"2017-10-30",0.062553,0.099172,0.055492,0.093669,"54,640","621,449","LINX",0.497434175818906
"2017-10-29",0.050025,0.066008,0.049845,0.06328,"14,541","493,556","LINX",0.264967516241879
